Id,Date,Position,Age,Tenure,Adaptability,No_pressure,Awareness,Likelihood,Influence,Importance,DefinedGoals,ReachGoal,Rewards,ParticiptionGoals,Improvement,HarmonyGoals,CustomerValue,PolicyLeads,CustomerRetension,CustomerExperience,ExcellentReward,Satisfaction,Competency,TeamWork,TechnicalSkills,clearRoles,Collaboration,Crossfunctional,RespectUniqueness,PriorityObjectives,ProctedPolicies,FactDrivenDecisions,AvailableInfo,CoreValue,CommunicationDepartment,CommunicationEmployee,CommunicationManagers,Encourage,FreedomExpress,DepartmentValues
41,2022-10-31 07:31:50,Site Manager,46 to 55,15 to 23,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree
42,2022-10-31 07:19:32,Site Manager,56 to 80,11 to 15,Neutral,Disagree,Neutral,Disagree,Agree,Neutral,Strongly agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Disagree,Neutral,Disagree,Disagree,Neutral
43,2022-10-31 07:13:53,Department Manager,46 to 55,15 to 23,Agree,Strongly disagree,Strongly agree,Neutral,Agree,Neutral,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree
53,2022-10-31 08:02:07,Head Section,25 to 35,11 to 15,Disagree,Disagree,Neutral,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly disagree,Disagree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral
51,2022-10-31 07:57:22,Department Deputy Manager,25 to 35,11 to 15,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
52,2022-10-31 07:59:16,Department Manager,36 to 45,15 to 23,Agree,Disagree,Agree,Neutral,Neutral,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree
55,2022-10-31 08:40:53,Department Manager,36 to 45,15 to 23,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
56,2022-10-31 08:19:16,Site Manager,56 to 80,6 to 10,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
57,2022-10-31 08:17:14,Department Manager,36 to 45,11 to 15,Strongly agree,Agree,Disagree,Strongly disagree,Strongly agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree
58,2022-10-31 08:31:06,Head Section,25 to 35,11 to 15,Strongly agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
61,2022-10-31 09:50:29,Site Manager,56 to 80,15 to 23,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Disagree,Strongly agree,Disagree,Disagree,Strongly disagree,Disagree,Neutral,Neutral,Agree,Neutral
62,2022-10-31 10:52:46,Department Manager,36 to 45,11 to 15,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Strongly agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
65,2022-10-31 14:29:00,Head Section,46 to 55,11 to 15,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
66,2022-10-31 15:02:14,Department Manager,36 to 45,15 to 23,Agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Neutral,Agree
69,2022-11-01 05:25:39,Key Officer,25 to 35,6 to 10,Agree,Neutral,Strongly agree,Agree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
77,2022-11-01 06:42:32,Site Manager,56 to 80,15 to 23,Neutral,Neutral,Neutral,Disagree,Agree,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Disagree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree
80,2022-11-01 14:34:36,Department Deputy Manager,46 to 55,15 to 23,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree
82,2022-11-01 15:11:02,Site Manager,46 to 55,11 to 15,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
83,2022-11-02 05:12:18,Department Manager,25 to 35,15 to 23,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
85,2022-11-01 15:15:58,Key Officer,36 to 45,15 to 23,Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree
87,2022-11-01 16:42:52,Site Manager,46 to 55,1 to 5,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree
89,2022-11-02 06:40:19,Department Manager,56 to 80,15 to 23,Agree,Neutral,Neutral,Agree,Agree,Disagree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral
91,2022-11-02 07:02:45,Head Section,46 to 55,15 to 23,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
92,2022-11-02 07:10:43,Site Manager,36 to 45,15 to 23,Disagree,Disagree,Neutral,Disagree,Agree,Agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree
93,2022-11-02 06:59:13,Key Officer,25 to 35,6 to 10,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
94,2022-11-02 07:09:56,Site Manager,56 to 80,11 to 15,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree
95,2022-11-02 07:10:40,Department Manager,36 to 45,1 to 5,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree
98,2022-11-02 07:45:37,Department Manager,25 to 35,11 to 15,Agree,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly agree,Strongly disagree,Neutral,Neutral,Strongly agree,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Neutral,Strongly agree,Strongly agree,Strongly disagree,Agree,Agree
101,2022-11-02 07:54:04,Head Section,46 to 55,11 to 15,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
102,2022-11-02 08:18:16,Head Section,36 to 45,6 to 10,Agree,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Strongly agree
104,2022-11-02 08:34:47,Site Manager,46 to 55,11 to 15,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree
107,2022-11-02 09:14:49,Head Section,46 to 55,11 to 15,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Disagree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree
108,2022-11-02 09:11:53,Head Section,36 to 45,15 to 23,Strongly agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree
111,2022-11-02 14:29:23,Head Section,36 to 45,11 to 15,Neutral,Disagree,Neutral,Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree
112,2022-11-02 15:32:01,Head Section,36 to 45,15 to 23,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral
119,2022-11-03 07:53:18,Department Manager,25 to 35,6 to 10,Agree,Agree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Strongly agree
118,2022-11-03 06:25:26,Head Section,36 to 45,6 to 10,Agree,Strongly disagree,Agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Agree,Strongly agree
121,2022-11-05 09:41:26,Head Section,36 to 45,11 to 15,Agree,Agree,Disagree,Agree,Strongly agree,Disagree,Neutral,Agree,Strongly disagree,Agree,Agree,Disagree,Strongly agree,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree
124,2022-11-05 14:53:52,Head Section,25 to 35,6 to 10,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
125,2022-11-05 15:10:15,Head Section,25 to 35,6 to 10,Neutral,Disagree,Neutral,Agree,Disagree,Disagree,Agree,Strongly agree,Disagree,Agree,Agree,Agree,Strongly agree,Strongly agree,Neutral,Agree,Strongly agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
127,2022-11-06 06:47:56,Key Officer,25 to 35,6 to 10,Agree,Neutral,Disagree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral
128,2022-11-06 07:07:11,Head Section,46 to 55,15 to 23,Neutral,Neutral,Strongly disagree,Agree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Strongly disagree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly disagree,Strongly disagree,Neutral,Agree,Agree,Neutral
129,2022-11-06 08:27:51,Department Manager,46 to 55,15 to 23,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree
131,2022-11-06 14:38:29,Department Manager,36 to 45,1 to 5,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Strongly agree,Agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Agree,Agree,Agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral
133,2022-11-07 05:50:51,Department Manager,46 to 55,15 to 23,Agree,Agree,Neutral,Strongly disagree,Disagree,Disagree,Neutral,Agree,Strongly disagree,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly disagree,Disagree,Neutral
135,2022-11-07 06:46:03,Department Manager,56 to 80,15 to 23,Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
136,2022-11-07 07:26:38,Department Manager,36 to 45,11 to 15,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Strongly agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree
138,2022-11-08 05:41:34,Department Manager,36 to 45,11 to 15,Agree,Strongly disagree,Agree,Strongly agree,Agree,Strongly agree,Agree,Neutral,Disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Agree,Agree,Agree,Strongly agree
140,2022-11-08 15:20:22,Head Section,36 to 45,11 to 15,Neutral,Strongly disagree,Agree,Strongly disagree,Agree,Strongly disagree,Neutral,Agree,Strongly disagree,Agree,Agree,Neutral,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly agree,Strongly disagree,Neutral,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Disagree,Neutral,Strongly disagree,Strongly disagree,Disagree
142,2022-11-08 15:36:34,Head Section,25 to 35,6 to 10,Agree,Neutral,Agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Neutral,Agree,Disagree,Strongly agree,Disagree,Agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Strongly agree
143,2022-11-08 18:47:37,Head Section,36 to 45,11 to 15,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Agree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Disagree,Neutral,Neutral
144,2022-11-08 16:40:50,Department Manager,36 to 45,15 to 23,Neutral,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Strongly agree
145,2022-11-09 05:36:19,Head Section,36 to 45,15 to 23,Neutral,Agree,Disagree,Disagree,Strongly disagree,Disagree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Neutral,Disagree,Neutral,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Strongly disagree,Agree,Disagree,Neutral,Strongly agree,Disagree,Disagree,Disagree
149,2022-11-09 06:26:58,Department Manager,36 to 45,11 to 15,Strongly agree,Agree,Agree,Strongly agree,Agree,Neutral,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Agree,Agree,Strongly agree,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly agree,Strongly agree,Strongly agree,Agree,Neutral,Agree,Strongly agree
151,2022-11-09 07:23:04,Head Section,36 to 45,11 to 15,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Agree,Neutral,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Neutral,Strongly agree,Neutral,Agree,Neutral,Agree,Strongly agree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Agree,Strongly agree,Agree,Neutral,Agree,Agree
152,2022-11-09 15:09:23,Head Section,25 to 35,11 to 15,Strongly agree,Neutral,Agree,Disagree,Agree,Agree,Agree,Neutral,Agree,Strongly agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Strongly agree,Agree,Strongly agree,Neutral,Strongly agree,Neutral,Agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
153,2022-11-10 07:35:21,Site Manager,36 to 45,11 to 15,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral
